City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,crane,31.3974,-102.3501,5.79,43,41,2.7,US,1698708886
83,makarov,48.6333,142.8,10.1,78,32,2.32,RU,1698709160
84,dudinka,69.4058,86.1778,-16.32,97,100,0.89,RU,1698708916
85,feraoun,36.5604,4.8545,14.66,78,87,2.02,DZ,1698709160
86,le morne-rouge,14.7667,-61.1333,24.76,76,100,5.66,MQ,1698709160
87,antsiranana,-12.2787,49.2917,24.1,83,100,5.82,MG,1698708847
88,borogontsy,62.6683,131.1683,-13.14,93,100,3.21,RU,1698709160
89,avarua,-21.2078,-159.775,26.03,69,75,6.69,CK,1698708890
90,afaahiti,-17.75,-149.2833,27.93,83,14,9.6,PF,1698708875
91,hadibu,12.65,54.0333,26.34,73,99,5.58,YE,1698708925
92,radomsko,51.0671,19.4448,13.35,77,98,5.63,PL,1698709160
93,tazovsky,67.4667,78.7,-16.33,96,27,2.13,RU,1698708838
94,lebu,-37.6167,-73.65,8.74,74,59,4.56,CL,1698708705
95,oranjemund,-28.55,16.4333,15.1,83,2,5.01,NA,1698709161
96,puerto baquerizo moreno,-0.9,-89.6,23.03,80,98,5.06,EC,1698709055
97,hawaiian paradise park,19.5933,-154.9731,28.73,84,75,3.6,US,1698708972
98,santo domingo suchitepequez,14.4667,-91.4833,31.14,97,100,0.81,GT,1698709161
99,margate,51.3813,1.3862,8.83,95,92,1.34,GB,1698708993
100,ibanda,-2.7974,32.4746,20.86,76,44,0.66,TZ,1698709161
101,port shepstone,-30.7414,30.455,13.49,85,100,1.47,ZA,1698709162
102,ola,59.5833,151.2833,-3.29,66,5,2.16,RU,1698709017
103,marica,-22.9194,-42.8186,26.97,88,100,0.71,BR,1698709162
104,klyuchi,52.2667,79.1667,4.99,99,100,2.29,RU,1698708933
105,college,64.8569,-147.8028,1.92,85,75,0.0,US,1698708859
106,novodvinsk,64.4165,40.8122,-8.45,97,45,1.8,RU,1698709091
107,papatowai,-46.5619,169.4708,15.9,59,100,2.52,NZ,1698708838
108,olavarria,-36.8927,-60.3225,12.4,23,91,3.3,AR,1698709162
109,usinsk,65.9939,57.5281,-8.85,81,100,3.13,RU,1698708921
110,west island,-12.1568,96.8225,25.99,83,100,7.2,CC,1698708573
111,bridgewater,44.3835,-64.5155,6.79,95,100,2.57,CA,1698709020
112,la ronge,55.1001,-105.2842,-6.86,63,20,2.06,CA,1698709088
113,rio grande,-32.035,-52.0986,20.06,92,100,6.18,BR,1698708876
114,adrar,20.5022,-10.0711,28.03,12,0,3.81,MR,1698709163
115,karasu,41.071,30.7854,18.14,83,45,1.42,TR,1698709163
116,bonthe,7.5264,-12.505,26.19,85,45,2.59,SL,1698708921
117,sitka,57.0531,-135.33,8.94,81,100,3.09,US,1698708798
118,levuka,50.1834,-105.4011,-7.15,68,20,5.66,CA,1698708962
119,kloulklubed,7.0419,134.2556,29.28,73,7,2.27,PW,1698709163
120,bilibino,68.0546,166.4372,-8.66,62,68,2.9,RU,1698708892
121,bluefield,37.2698,-81.2223,8.53,94,100,2.06,US,1698709012
122,howard springs,-12.497,131.047,30.46,72,71,2.76,AU,1698709163
123,maych'ew,12.7875,39.5422,11.83,85,24,4.42,ET,1698709164
124,vorgashor,67.5833,63.95,-10.42,87,100,4.41,RU,1698709008
125,sisimiut,66.9395,-53.6735,-1.62,64,76,0.33,GL,1698709150
126,muragacha,23.5333,88.4,22.04,79,56,1.66,IN,1698709164
127,longyearbyen,78.2186,15.6401,0.91,64,75,5.14,SJ,1698708839
128,rabaul,-4.1967,152.1721,26.99,79,96,3.96,PG,1698709164
129,la passe,45.5549,-0.8967,14.99,83,80,11.43,FR,1698708940
130,kuraymah,18.55,31.85,28.29,20,15,5.29,SD,1698709164
131,mount pearl,47.5166,-52.7813,1.64,87,100,0.45,CA,1698709164
132,troitskoye,52.9821,84.6757,3.84,98,100,3.2,RU,1698709165
133,priargunsk,50.3691,119.1012,-3.76,61,100,2.61,RU,1698709165
134,minas de marcona,-15.2119,-75.1103,15.27,82,45,5.63,PE,1698708894
135,nadym,65.5333,72.5167,-13.74,92,18,3.22,RU,1698709165
136,olonkinbyen,70.9221,-8.7187,1.64,75,100,4.98,SJ,1698708651
137,as saffaniyah,27.9708,48.73,24.07,71,88,2.69,SA,1698709165
138,zouerate,22.7187,-12.4521,28.23,14,0,1.91,MR,1698709170
139,constantia,44.1833,28.65,10.38,76,0,3.37,RO,1698708906
140,pyetrykaw,52.1289,28.4921,10.2,94,92,1.93,BY,1698709171
141,tymovskoye,50.8456,142.655,1.96,72,97,2.18,RU,1698709171
142,hithadhoo,-0.6,73.0833,26.93,80,44,4.45,MV,1698708867
143,buala,-8.145,159.5921,26.95,83,100,3.67,SB,1698709171
144,kismayo,-0.3582,42.5454,26.05,84,37,3.37,SO,1698709171
145,namtsy,62.7161,129.6658,-16.66,96,97,2.55,RU,1698709171
146,yellowknife,62.456,-114.3525,0.23,95,75,1.54,CA,1698708663
147,labytnangi,66.6572,66.4183,-11.73,97,100,0.96,RU,1698709171
148,pacific grove,36.6177,-121.9166,26.82,42,0,2.06,US,1698709077
149,teofilo otoni,-17.8575,-41.5053,24.92,55,97,2.15,BR,1698709096
150,tabou,4.423,-7.3528,24.54,93,88,0.55,CI,1698708963
151,sonta,45.5947,19.0981,14.99,35,66,5.99,RS,1698709172
152,saint-philippe,-21.3585,55.7679,22.77,84,56,2.12,RE,1698708880
153,stanley,54.868,-1.6985,7.09,92,40,1.54,GB,1698709172
154,tazacorte,28.629,-17.9293,23.54,95,75,1.54,ES,1698709018
155,grand baie,-20.0182,57.5802,24.26,77,5,0.89,MU,1698708901
156,hinganghat,20.5667,78.8333,18.95,71,37,2.36,IN,1698709172
157,brookings,44.3114,-96.7984,4.54,48,100,8.23,US,1698708958
158,praia da vitoria,38.7333,-27.0667,18.75,82,20,7.69,PT,1698708740
159,illizi,26.4833,8.4667,22.89,16,0,4.71,DZ,1698709173
160,itoman,26.1247,127.6694,24.43,75,20,5.66,JP,1698708934
161,inhambane,-23.865,35.3833,19.98,71,98,5.83,MZ,1698709173
